,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,56,75.0,100.0,1,48844,0,0,-2,2,0.0,0,0,1,2.3,1.0,1,David,1.0,3,0,4.7,1,False,46.0,0,0,0,0,290,Rib Injury - 75% chance of playing,2018-04-29T20:01:18Z,48,0,0,0,48844.jpg,2.8,0,6,Ospina,0.2,False,13.0,d,1,3,0.0,11,3329,136,9865,98,0.2,2.3,Ospina,0
1,0,7,576,100.0,100.0,10,11334,0,0,-2,2,0.0,1,0,1,2.6,0.8,0,Petr,0.8,45,0,65.4,2,False,657.0,0,0,0,0,2859,,2018-04-22T12:01:20Z,53,0,0,1,11334.jpg,3.6,0,81,Cech,4.5,False,33.0,a,1,3,0.0,115,179945,1254,290084,2012,0.2,21.7,Cech,1
2,0,0,0,0.0,0.0,0,98980,0,0,0,0,0.0,0,0,1,0.0,0.0,0,Damian Emiliano,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Season-long loan to Getafe,2017-08-03T08:35:02Z,40,0,0,0,98980.jpg,0.0,0,0,Martinez,0.6,False,26.0,u,1,3,0.0,0,1499,4,29126,81,0.0,0.0,Martinez,0
3,0,16,556,100.0,100.0,9,51507,0,0,0,0,123.8,3,0,2,2.0,0.5,0,Laurent,0.5,32,2,95.5,4,False,692.0,0,0,0,0,2225,,2018-03-15T22:01:16Z,60,0,0,0,51507.jpg,4.0,0,0,Koscielny,1.7,False,6.0,a,1,3,137.0,100,205717,573,189798,979,0.1,16.7,Koscielny,4
4,0,2,77,100.0,100.0,0,17127,0,0,-3,3,3.0,1,0,2,1.0,0.0,0,Per,0.0,7,1,15.7,5,False,115.4,0,0,0,0,351,,2017-11-18T12:31:16Z,47,0,0,0,17127.jpg,3.0,0,0,Mertesacker,0.5,False,4.0,a,1,3,38.0,15,31447,63,46287,82,0.0,3.2,Mertesacker,0
5,0,0,0,0.0,0.0,0,158074,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Gabriel Armando,0.0,0,0,0.0,6,False,0.0,0,0,0,0,0,Joined Valencia on 18/8,2017-07-12T10:31:11Z,50,0,0,0,158074.jpg,0.0,0,0,de Abreu,0.1,False,5.0,u,1,3,0.0,0,365,3,2354,5,0.0,0.0,Gabriel,0
6,2,9,580,100.0,100.0,10,98745,0,0,-1,1,534.8,1,0,2,3.6,1.3,3,Héctor,1.3,44,2,150.8,7,False,500.0,0,0,0,0,2870,,2018-03-07T19:31:17Z,59,0,0,0,98745.jpg,3.4,0,0,Bellerín,9.9,False,24.0,a,1,3,472.0,112,719293,6041,954184,2553,0.2,19.0,Bellerín,5
7,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,0,0,0,0,Season-long loan to Birmingham,2017-08-22T14:57:50Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.2,False,25.0,u,1,3,0.0,0,747,1,13666,7,0.0,0.0,Jenkinson,0
8,2,15,601,100.0,100.0,10,38411,1,-1,2,-2,237.9,3,0,2,6.6,2.8,1,Nacho,2.8,29,5,123.6,10,False,690.8,0,0,0,0,2219,,2018-02-25T19:31:19Z,57,0,0,0,38411.jpg,4.8,0,0,Monreal,8.4,False,18.0,a,1,3,305.0,129,1575703,23578,1431768,5217,0.5,23.0,Monreal,3
9,1,0,153,100.0,100.0,2,156074,0,0,-6,6,37.6,0,0,2,2.0,0.5,0,Rob,0.5,14,0,22.4,11,False,163.0,0,0,0,0,639,,2017-11-05T19:31:15Z,44,0,0,0,156074.jpg,2.0,0,0,Holding,0.6,False,16.0,a,1,3,24.0,20,28539,156,110594,202,0.1,4.5,Holding,2
10,1,10,559,100.0,100.0,9,69140,0,0,0,0,118.5,2,0,2,2.6,0.8,0,Shkodran,0.8,28,3,109.7,12,False,776.6,0,0,0,0,2111,,2018-03-11T16:01:19Z,55,0,0,0,69140.jpg,4.0,0,0,Mustafi,4.4,False,20.0,a,1,3,200.0,99,584672,3324,470692,6259,0.1,18.0,Mustafi,6
11,4,6,437,75.0,100.0,8,111457,0,0,-2,2,315.6,1,0,2,2.0,0.8,2,Sead,0.8,27,1,102.9,13,False,379.4,0,0,0,0,1899,Groin Injury - 75% chance of playing,2018-04-29T17:01:20Z,58,0,0,0,111457.jpg,3.7,0,0,Kolasinac,6.1,False,31.0,d,1,3,333.0,89,828304,47,1170571,1430,0.1,15.3,Kolasinac,3
12,9,11,506,100.0,100.0,8,37605,0,0,-2,2,1287.5,2,0,3,1.0,0.0,0,Mesut,0.0,36,4,248.6,16,False,640.6,0,0,0,0,2161,,2018-04-22T12:01:20Z,93,0,0,0,37605.jpg,4.3,0,0,Özil,2.3,False,11.0,a,1,3,555.0,112,357586,843,394308,2645,0.0,12.0,Özil,4
13,0,0,0,0.0,0.0,0,19524,0,0,-1,1,0.0,0,0,3,0.0,0.0,0,Santiago,0.0,0,0,0.0,17,False,0.0,0,0,0,0,0,Achilles injury - Unknown return date,2017-07-12T10:31:11Z,69,0,0,0,19524.jpg,0.0,0,0,Cazorla,0.1,False,19.0,i,1,3,0.0,0,1131,15,2636,22,0.0,0.0,Cazorla,0
14,9,12,456,100.0,100.0,8,41792,0,0,-2,2,442.6,3,0,3,7.0,3.0,0,Aaron,3.0,22,7,170.9,18,False,576.6,0,0,0,0,1646,,2018-04-13T09:01:18Z,68,0,0,0,41792.jpg,5.8,0,0,Ramsey,4.3,False,8.0,a,1,3,691.0,121,1220901,15628,1115391,6338,0.4,17.8,Ramsey,0
15,0,0,35,0.0,0.0,0,56864,0,0,-2,2,16.9,0,0,3,0.0,0.0,0,Francis,0.0,6,0,4.8,20,False,22.2,0,0,0,0,164,Transferred to Valencia,2018-01-12T09:32:41Z,43,0,0,0,56864.jpg,1.0,0,0,Coquelin,0.5,False,34.0,u,1,3,8.0,7,15801,2,41453,25,0.0,1.6,Coquelin,0
16,5,2,361,75.0,100.0,7,153133,0,0,-4,4,518.0,0,0,3,6.4,3.8,2,Alex,3.8,24,2,143.3,21,False,354.2,0,0,0,0,1583,Hamstring injury - 75% chance of playing,2018-04-29T20:01:18Z,51,0,0,0,153133.jpg,3.3,0,0,Iwobi,0.9,False,17.0,d,1,3,563.0,76,115664,786,219783,2656,0.7,14.9,Iwobi,1
17,1,0,156,0.0,0.0,3,153256,0,0,-3,3,194.4,0,0,3,0.0,0.0,0,Mohamed,0.5,12,0,42.5,22,False,138.2,0,0,0,0,865,Ankle injury - Unknown return date,2018-04-22T14:01:18Z,42,0,0,0,153256.jpg,1.7,1,0,Elneny,3.1,False,35.0,i,1,3,92.0,22,308865,214,348541,3413,0.1,5.2,Elneny,3
